SpecName,Question
Occasion,for which kind of {header}?
Design,what type of {header} does it have?
Line-Pattern,what type of {header} does it have?
Trend,what type of {header} does it have?
Trim,what type of {header} does it have?
style,what type of {header} does it have?
print,what type of {header} does it have?
beading,what type of {header} does it have?
fit,what type of {header} does it have?
straps,what type of {header} does it have?
shoulder,what type of {header} does it have?
neckline,what type of {header} does it have?
closure,what type of {header} does it have?
fabric,what type of {header} does it have?
collars,what type of {header} does it have?
quality,what type of {header} does it have?
Stitch,what type of {header} does it have?
Texture,what type of {header} does it have?
Seam,what type of {header} does it have?
sleeve,what type of {header} does it have?
Buttonholes,what type of {header} does it have?
Zip,what type of {header} does it have?
Pocket,what type of {header} does it have?
COUNTRY,which {header} is this from?
pattern,what type of {header} does it have?
Size,what {header} is it?
gender,for which {header} is it?
Width,what is its {header}?
Color,what {header} is it?
Finish,what type of {header} does it have?
Stone-Shape,what type of {header} does it have?
Metal,what type of {header} does it have?
Gemstone,what type of {header} does it have?
Back,what type of {header} does it have?
Length,what is its {header}?
Chain,what type of {header} does it have?
Pearl,what type of {header} does it have?
Designer,who is the {header}?
Material,what type of {header} does it have?
thickness,what is its {header}?
height,what is its {header}?
opening,what type of {header} does it have?
diameter,what is its {header}?
depth,what is its {header}?
pave,what type of {header} does it have?
plating,what type of {header} does it have?
carving,what type of {header} does it have?
engraving,what type of {header} does it have?
links,what type of {header} does it have?
weight,what is its {header}?
Conscience,what type of {header} does it have?
clarity,what type of {header} does it have?
Carat,how many {header} does it have?
Certification,what type of {header} does it have?
see-through,is it {header}?
nipped,is it {header}?
Rhinestone Studded,is it {header}?
double-breasted,is it {header}?
single-breasted,is it {header}?
machine-wash,is it {header}?
Bleached,is it {header}
embroidery,does it have {header}?
fringes,does it have {header}?
sole,what type of {header} does it have?
season,for which season {header} is it?
binding,what type of {header} does it have?
heel,what type of {header} does it have?
insole,what type of {header} does it have?
lining,what type of {header} does it have?
sock,what type of {header} does it have?
tongue,what type of {header} does it have?
lace,what type of {header} does it have?
toe,what type of {header} does it have?
insolation,what type of {header} does it have?
filling,what type of {header} does it have?
hood,what type of {header} does it have?
raglan,what type of {header} does it have?
thread,what type of {header} does it have?
hardware,what type of {header} does it have?
care,What type of {header} does it need?
fiber,what type of {header} does it have?
density,what type of {header} does it have?
bust,what type of {header} does it have?
waist,what type of {header} does it have?
wiring,what type of {header} does it have?
coverage,what type of {header} does it have?
edge,what type of {header} does it have?
silhouette,what type of {header} does it have?
brand,what is its {header}?
rise,what type of {header} does it have?
inseam,what type of {header} does it have?
aesthetic,what type of {header} does it have?
frame,what type of {header} does it have?
lense,what type of {header} does it have?
padding,what type of {header} does it have?
hem,what type of {header} does it have?
eyelet,what type of {header} does it have?
compression,what type of {header} does it have?
protection,what type of {header} does it have?
bottom,what type of {header} does it have?